[2026-03-06 15:48:13] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:13] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:13] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:13] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:13] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:13] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:13] level_map.py:189 INFO    : Moving character: a
[2026-03-06 15:48:13] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:13] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:13] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:13] level_map.py:316 INFO    : Ogre is chasing Character!
[2026-03-06 15:48:13] level_map.py:424 INFO    : Ogre chases Character!
[2026-03-06 15:48:13] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:13] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:13] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:14] level_map.py:189 INFO    : Moving character: d
[2026-03-06 15:48:14] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:14] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:14] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:14] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:14] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:14] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:14] level_map.py:316 INFO    : Ogre is chasing Character!
[2026-03-06 15:48:14] level_map.py:424 INFO    : Ogre chases Character!
[2026-03-06 15:48:14] level_map.py:189 INFO    : Moving character: d
[2026-03-06 15:48:14] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:14] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:14] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:14] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:14] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:14] level_map.py:316 INFO    : Ogre is chasing Character!
[2026-03-06 15:48:14] level_map.py:420 INFO    : Ogre attacks Character!
[2026-03-06 15:48:14] character.py:219 INFO    : Огр атакует dss нанося 9 урона
[2026-03-06 15:48:14] character.py:132 INFO    : Character decrease to 9 hp=91
[2026-03-06 15:48:15] level_map.py:189 INFO    : Moving character: w
[2026-03-06 15:48:15] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:15] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:15] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:15] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:15] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:15] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:15] level_map.py:189 INFO    : Moving character: w
[2026-03-06 15:48:15] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:15] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:15] level_map.py:321 INFO    : Mimic makes a pattern move
[2026-03-06 15:48:15] level_map.py:321 INFO    : Vampire makes a pattern move
[2026-03-06 15:48:15] level_map.py:321 INFO    : Ghost makes a pattern move
[2026-03-06 15:48:15] level_map.py:316 INFO    : Ogre is chasing Character!
[2026-03-06 15:48:15] level_map.py:424 INFO    : Ogre chases Character!
[2026-03-06 15:48:15] level_map.py:189 INFO    : Moving character: d
[2026-03-06 15:48:15] level_map.py:197 INFO    : Moving character in Corridor
[2026-03-06 15:48:15] level_map.py:321 INFO    : Ogre makes a pattern move
[2026-03-06 15:48:15] level_map.py:321 INFO    : Mimic makes a pattern move
