('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         756817 function calls (732534 primitive calls) in 7.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      130    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       58    0.000    0.000    0.446    0.008 client.py:633(_safe_read)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
       51    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      161    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      300    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      402    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.002    0.002 css_types.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      516    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.063    0.063 css_parser.py:1(<module>)
       44    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        2    0.000    0.000    0.003    0.001 request.py:1(<module>)
       54    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       39    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      110    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 errors.py:45(NoBoundaryInMultipartDefect)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
      127    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
        1    0.000    0.000    0.018    0.018 url.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      219    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       64    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.141    0.141 connection.py:192(_new_conn)
       19    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
      264    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      166    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      261    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       11    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.007    0.007 ssl.py:1(<module>)
        2    0.000    0.000    0.015    0.008 connection.py:1(<module>)
      232    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
    71/51    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
        5    0.000    0.000    0.000    0.000 filter.py:378(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:271(_RandomNameSequence)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.244    0.244 __init__.py:209(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.236    0.236 connection.py:669(connect)
      190    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      334    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        1    0.000    0.000    1.569    1.569 sessions.py:673(send)
       57    0.000    0.000    0.002    0.000 _htmlparser.py:127(handle_startendtag)
        3    0.000    0.000    0.015    0.005 response.py:1(<module>)
       25    0.000    0.000    0.001    0.000 typing.py:740(Optional)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
  133/115    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      167    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
