('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         770088 function calls (745963 primitive calls) in 2.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      556    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       99    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      622    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      513    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
        1    0.000    0.000    0.064    0.064 dammit.py:1(<module>)
      122    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
     1171    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      135    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
      255    0.000    0.000    0.001    0.000 _state.py:275(process_event)
       45    0.000    0.000    0.001    0.000 typing.py:1096(_generic_init_subclass)
      446    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
     1345    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
        7    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
     1273    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
  210/204    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       57    0.000    0.000    0.001    0.000 dataclasses.py:760(_get_field)
      273    0.000    0.000    0.000    0.000 css_parser.py:334(match)
      973    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
  540/333    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      836    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      333    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1066    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       35    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
      310    0.000    0.000    0.121    0.000 __init__.py:226(compile)
      293    0.000    0.000    0.000    0.000 _receivebuffer.py:67(_extract)
       78    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      185    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      292    0.000    0.000    0.000    0.000 _connection.py:352(receive_data)
     1103    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      745    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     22/8    0.000    0.000    0.001    0.000 inspect.py:2470(_signature_from_callable)
      243    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      292    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
     1313    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      260    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
      307    0.000    0.000    0.000    0.000 {built-in method builtins.any}
     1680    0.000    0.000    0.000    0.000 _exceptions.py:7(map_exceptions)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      479    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      118    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
      612    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      767    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      410    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      256    0.000    0.000    0.000    0.000 _connection.py:330(_respond_to_state_changes)
      242    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      745    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      816    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      446    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       91    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       86    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      305    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       32    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
      418    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      122    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
